date,cat_id,sales,snap_CA
2011-01-29,FOODS,3239,0
2011-01-29,HOBBIES,556,0
2011-01-29,HOUSEHOLD,542,0
2011-01-30,FOODS,3137,0
2011-01-30,HOBBIES,498,0
2011-01-30,HOUSEHOLD,520,0
2011-01-31,FOODS,2008,0
2011-01-31,HOBBIES,415,0
2011-01-31,HOUSEHOLD,393,0
2011-02-01,FOODS,2258,1
2011-02-01,HOBBIES,392,1
2011-02-01,HOUSEHOLD,401,1
2011-02-02,FOODS,2032,1
2011-02-02,HOBBIES,268,1
2011-02-02,HOUSEHOLD,330,1
2011-02-03,FOODS,2407,1
2011-02-03,HOBBIES,467,1
2011-02-03,HOUSEHOLD,402,1
2011-02-04,FOODS,2693,1
2011-02-04,HOBBIES,346,1
2011-02-04,HOUSEHOLD,411,1
2011-02-05,FOODS,3962,1
2011-02-05,HOBBIES,769,1
2011-02-05,HOUSEHOLD,706,1
2011-02-06,FOODS,3418,1
2011-02-06,HOBBIES,432,1
2011-02-06,HOUSEHOLD,490,1
2011-02-07,FOODS,2446,1
2011-02-07,HOBBIES,384,1
2011-02-07,HOUSEHOLD,327,1
2011-02-08,FOODS,2138,1
2011-02-08,HOBBIES,496,1
2011-02-08,HOUSEHOLD,361,1
2011-02-09,FOODS,2001,1
2011-02-09,HOBBIES,399,1
2011-02-09,HOUSEHOLD,310,1
2011-02-10,FOODS,2137,1
2011-02-10,HOBBIES,454,1
2011-02-10,HOUSEHOLD,337,1
2011-02-11,FOODS,2217,0
2011-02-11,HOBBIES,453,0
2011-02-11,HOUSEHOLD,408,0
2011-02-12,FOODS,3067,0
2011-02-12,HOBBIES,692,0
2011-02-12,HOUSEHOLD,557,0
2011-02-13,FOODS,3313,0
2011-02-13,HOBBIES,458,0
2011-02-13,HOUSEHOLD,583,0
2011-02-14,FOODS,2003,0
2011-02-14,HOBBIES,379,0
2011-02-14,HOUSEHOLD,375,0
2011-02-15,FOODS,1779,0
2011-02-15,HOBBIES,334,0
2011-02-15,HOUSEHOLD,317,0
2011-02-16,FOODS,1670,0
2011-02-16,HOBBIES,270,0
2011-02-16,HOUSEHOLD,332,0
2011-02-17,FOODS,1433,0
2011-02-17,HOBBIES,280,0
2011-02-17,HOUSEHOLD,296,0
2011-02-18,FOODS,2250,0
2011-02-18,HOBBIES,311,0
2011-02-18,HOUSEHOLD,454,0
2011-02-19,FOODS,3148,0
2011-02-19,HOBBIES,793,0
2011-02-19,HOUSEHOLD,612,0
2011-02-20,FOODS,2864,0
2011-02-20,HOBBIES,501,0
2011-02-20,HOUSEHOLD,601,0
2011-02-21,FOODS,2105,0
2011-02-21,HOBBIES,626,0
2011-02-21,HOUSEHOLD,533,0
2011-02-22,FOODS,1621,0
2011-02-22,HOBBIES,455,0
2011-02-22,HOUSEHOLD,365,0
2011-02-23,FOODS,1608,0
2011-02-23,HOBBIES,418,0
2011-02-23,HOUSEHOLD,351,0
2011-02-24,FOODS,1639,0
2011-02-24,HOBBIES,426,0
2011-02-24,HOUSEHOLD,349,0
2011-02-25,FOODS,1875,0
2011-02-25,HOBBIES,403,0
2011-02-25,HOUSEHOLD,423,0
2011-02-26,FOODS,2574,0
2011-02-26,HOBBIES,613,0
2011-02-26,HOUSEHOLD,532,0
2011-02-27,FOODS,2733,0
2011-02-27,HOBBIES,215,0
2011-02-27,HOUSEHOLD,600,0
2011-02-28,FOODS,1732,0
2011-02-28,HOBBIES,178,0
2011-02-28,HOUSEHOLD,336,0
2011-03-01,FOODS,1896,1
2011-03-01,HOBBIES,230,1
2011-03-01,HOUSEHOLD,423,1
2011-03-02,FOODS,1965,1
2011-03-02,HOBBIES,197,1
