date,dept_id,cat_id,sales,snap_CA
2011-01-29,FOODS_1,FOODS,297,0
2011-01-29,FOODS_2,FOODS,674,0
2011-01-29,FOODS_3,FOODS,2268,0
2011-01-29,HOBBIES_1,HOBBIES,528,0
2011-01-29,HOBBIES_2,HOBBIES,28,0
2011-01-29,HOUSEHOLD_1,HOUSEHOLD,361,0
2011-01-29,HOUSEHOLD_2,HOUSEHOLD,181,0
2011-01-30,FOODS_1,FOODS,284,0
2011-01-30,FOODS_2,FOODS,655,0
2011-01-30,FOODS_3,FOODS,2198,0
2011-01-30,HOBBIES_1,HOBBIES,489,0
2011-01-30,HOBBIES_2,HOBBIES,9,0
2011-01-30,HOUSEHOLD_1,HOUSEHOLD,350,0
2011-01-30,HOUSEHOLD_2,HOUSEHOLD,170,0
2011-01-31,FOODS_1,FOODS,214,0
2011-01-31,FOODS_2,FOODS,396,0
2011-01-31,FOODS_3,FOODS,1398,0
2011-01-31,HOBBIES_1,HOBBIES,409,0
2011-01-31,HOBBIES_2,HOBBIES,6,0
2011-01-31,HOUSEHOLD_1,HOUSEHOLD,279,0
2011-01-31,HOUSEHOLD_2,HOUSEHOLD,114,0
2011-02-01,FOODS_1,FOODS,175,1
2011-02-01,FOODS_2,FOODS,476,1
2011-02-01,FOODS_3,FOODS,1607,1
2011-02-01,HOBBIES_1,HOBBIES,383,1
2011-02-01,HOBBIES_2,HOBBIES,9,1
2011-02-01,HOUSEHOLD_1,HOUSEHOLD,278,1
2011-02-01,HOUSEHOLD_2,HOUSEHOLD,123,1
2011-02-02,FOODS_1,FOODS,182,1
2011-02-02,FOODS_2,FOODS,354,1
2011-02-02,FOODS_3,FOODS,1496,1
2011-02-02,HOBBIES_1,HOBBIES,263,1
2011-02-02,HOBBIES_2,HOBBIES,5,1
2011-02-02,HOUSEHOLD_1,HOUSEHOLD,195,1
2011-02-02,HOUSEHOLD_2,HOUSEHOLD,135,1
2011-02-03,FOODS_1,FOODS,191,1
2011-02-03,FOODS_2,FOODS,486,1
2011-02-03,FOODS_3,FOODS,1730,1
2011-02-03,HOBBIES_1,HOBBIES,453,1
2011-02-03,HOBBIES_2,HOBBIES,14,1
2011-02-03,HOUSEHOLD_1,HOUSEHOLD,256,1
2011-02-03,HOUSEHOLD_2,HOUSEHOLD,146,1
2011-02-04,FOODS_1,FOODS,224,1
2011-02-04,FOODS_2,FOODS,554,1
2011-02-04,FOODS_3,FOODS,1915,1
2011-02-04,HOBBIES_1,HOBBIES,339,1
2011-02-04,HOBBIES_2,HOBBIES,7,1
2011-02-04,HOUSEHOLD_1,HOUSEHOLD,268,1
2011-02-04,HOUSEHOLD_2,HOUSEHOLD,143,1
2011-02-05,FOODS_1,FOODS,263,1
2011-02-05,FOODS_2,FOODS,747,1
2011-02-05,FOODS_3,FOODS,2952,1
2011-02-05,HOBBIES_1,HOBBIES,750,1
2011-02-05,HOBBIES_2,HOBBIES,19,1
2011-02-05,HOUSEHOLD_1,HOUSEHOLD,517,1
2011-02-05,HOUSEHOLD_2,HOUSEHOLD,189,1
2011-02-06,FOODS_1,FOODS,245,1
2011-02-06,FOODS_2,FOODS,581,1
2011-02-06,FOODS_3,FOODS,2592,1
2011-02-06,HOBBIES_1,HOBBIES,425,1
2011-02-06,HOBBIES_2,HOBBIES,7,1
2011-02-06,HOUSEHOLD_1,HOUSEHOLD,343,1
2011-02-06,HOUSEHOLD_2,HOUSEHOLD,147,1
2011-02-07,FOODS_1,FOODS,176,1
2011-02-07,FOODS_2,FOODS,559,1
2011-02-07,FOODS_3,FOODS,1711,1
2011-02-07,HOBBIES_1,HOBBIES,375,1
