id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,snap_CA
FOODS_2_197_CA_1_validation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,d_1,38,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_080_CA_1_validation,FOODS_3_080,FOODS_3,FOODS,CA_1,CA,d_1,33,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_1,107,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,d_1,19,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_555_CA_1_validation,FOODS_3_555,FOODS_3,FOODS,CA_1,CA,d_1,23,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA,d_1,42,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_587_CA_1_validation,FOODS_3_587,FOODS_3,FOODS,CA_1,CA,d_1,50,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_714_CA_1_validation,FOODS_3_714,FOODS_3,FOODS,CA_1,CA,d_1,49,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_3_808_CA_1_validation,FOODS_3_808,FOODS_3,FOODS,CA_1,CA,d_1,22,2011-01-29,11101,Saturday,1,1,2011,,,0
FOODS_2_197_CA_1_validation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,d_2,31,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_080_CA_1_validation,FOODS_3_080,FOODS_3,FOODS,CA_1,CA,d_2,16,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_2,182,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,d_2,0,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,d_2,14,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_555_CA_1_validation,FOODS_3_555,FOODS_3,FOODS,CA_1,CA,d_2,16,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA,d_2,36,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_587_CA_1_validation,FOODS_3_587,FOODS_3,FOODS,CA_1,CA,d_2,121,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_714_CA_1_validation,FOODS_3_714,FOODS_3,FOODS,CA_1,CA,d_2,44,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_3_808_CA_1_validation,FOODS_3_808,FOODS_3,FOODS,CA_1,CA,d_2,18,2011-01-30,11101,Sunday,2,1,2011,,,0
FOODS_2_197_CA_1_validation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,d_3,14,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_080_CA_1_validation,FOODS_3_080,FOODS_3,FOODS,CA_1,CA,d_3,16,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_3,47,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,d_3,0,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,d_3,10,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_555_CA_1_validation,FOODS_3_555,FOODS_3,FOODS,CA_1,CA,d_3,14,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA,d_3,30,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_587_CA_1_validation,FOODS_3_587,FOODS_3,FOODS,CA_1,CA,d_3,67,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_714_CA_1_validation,FOODS_3_714,FOODS_3,FOODS,CA_1,CA,d_3,24,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_3_808_CA_1_validation,FOODS_3_808,FOODS_3,FOODS,CA_1,CA,d_3,14,2011-01-31,11101,Monday,3,1,2011,,,0
FOODS_2_197_CA_1_validation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,d_4,29,2011-02-01,11101,Tuesday,4,2,2011,,,1
FOODS_3_080_CA_1_validation,FOODS_3_080,FOODS_3,FOODS,CA_1,CA,d_4,14,2011-02-01,11101,Tuesday,4,2,2011,,,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_4,47,2011-02-01,11101,Tuesday,4,2,2011,,,1
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,d_4,0,2011-02-01,11101,Tuesday,4,2,2011,,,1
