date,category,actual_sales,best_sarimax_forecast,moving_avg_forecast,naive_forecast
2016-03-28,FOODS,2480,2680.421138118513,3091.0,3366
2016-03-29,FOODS,2481,2458.8764729952823,3091.0,3366
2016-03-30,FOODS,2135,2440.470683363656,3091.0,3366
2016-03-31,FOODS,2651,2451.4297157829465,3091.0,3366
2016-04-01,FOODS,3132,3227.16871889082,3091.0,3366
2016-04-02,FOODS,3890,4034.1834512445726,3091.0,3366
2016-04-03,FOODS,4226,4021.49209863611,3091.0,3366
2016-04-04,FOODS,3273,3116.74738256765,3091.0,3366
2016-04-05,FOODS,2711,2796.4425670216897,3091.0,3366
2016-04-06,FOODS,2698,2757.0383816985704,3091.0,3366
2016-04-07,FOODS,2450,2744.319976318782,3091.0,3366
2016-04-08,FOODS,3141,3155.114128304753,3091.0,3366
2016-04-09,FOODS,4073,3958.2738087584316,3091.0,3366
2016-04-10,FOODS,4061,4072.855122196569,3091.0,3366
2016-04-11,FOODS,2876,2814.6700766482454,3091.0,3366
2016-04-12,FOODS,2372,2479.930481948848,3091.0,3366
2016-04-13,FOODS,2341,2437.456576941908,3091.0,3366
2016-04-14,FOODS,2421,2421.2791392049116,3091.0,3366
2016-04-15,FOODS,2706,2825.711892390303,3091.0,3366
2016-04-16,FOODS,3481,3628.3084549034897,3091.0,3366
2016-04-17,FOODS,4004,3761.4790076711947,3091.0,3366
2016-04-18,FOODS,2886,2820.00555155849,3091.0,3366
2016-04-19,FOODS,2488,2483.1576336142716,3091.0,3366
2016-04-20,FOODS,2490,2440.2353696652544,3091.0,3366
2016-04-21,FOODS,2533,2423.552710781055,3091.0,3366
2016-04-22,FOODS,2960,2827.056327599639,3091.0,3366
2016-04-23,FOODS,3655,3629.570641947029,3091.0,3366
2016-04-24,FOODS,4053,3765.456311061045,3091.0,3366
