date,actual_sales,sarimax_forecast,moving_avg_forecast,naive_forecast
2016-03-28,2480,2681.0972520679834,3091.0,3366
2016-03-29,2481,2463.811326448764,3091.0,3366
2016-03-30,2135,2446.986011352957,3091.0,3366
2016-03-31,2651,2457.114364900395,3091.0,3366
2016-04-01,3132,3177.073704589549,3091.0,3366
2016-04-02,3890,3985.007956975707,3091.0,3366
2016-04-03,4226,3976.911740884817,3091.0,3366
2016-04-04,3273,3071.559210537974,3091.0,3366
2016-04-05,2711,2753.4461679667475,3091.0,3366
2016-04-06,2698,2713.9662932293118,3091.0,3366
2016-04-07,2450,2700.0484157942738,3091.0,3366
2016-04-08,3141,3107.5923552576387,3091.0,3366
2016-04-09,4073,3911.802817895756,3091.0,3366
2016-04-10,4061,4027.7910491532843,3091.0,3366
2016-04-11,2876,2821.8517036585954,3091.0,3366
2016-04-12,2372,2489.4384812422213,3091.0,3366
2016-04-13,2341,2446.7447625120494,3091.0,3366
2016-04-14,2421,2429.4185746983007,3091.0,3366
2016-04-15,2706,2830.853315354962,3091.0,3366
2016-04-16,3481,3634.536048998891,3091.0,3366
2016-04-17,4004,3768.1064346766666,3091.0,3366
2016-04-18,2886,2827.0367281003546,3091.0,3366
2016-04-19,2488,2492.5972359875577,3091.0,3366
2016-04-20,2490,2449.448130237524,3091.0,3366
2016-04-21,2533,2431.6390008288554,3091.0,3366
2016-04-22,2960,2832.208096900494,3091.0,3366
2016-04-23,3655,3635.816053832666,3091.0,3366
2016-04-24,4053,3771.877747530218,3091.0,3366
