store_id,model,feature_set,order,seasonal_order,MAE,RMSE,MAPE,AIC,converged
CA_1,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",195.00909401354266,254.67196050537729,4.203053979160155,27798.40243494496,True
CA_1,"Calendar SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 1, 7)",220.20526424141522,262.6703374417298,5.231057667491117,27840.914890577355,True
CA_2,"Calendar SARIMAX (0, 1, 1)(1, 1, 1, 7) - CA_2",snap_weekday_month_event,"(0, 1, 1)","(1, 1, 1, 7)",216.3868110593178,286.0861708169301,4.69028889981133,27280.643298331095,True
CA_2,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_2",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",290.44744578211356,363.26654129255843,6.011861607831238,27059.797838623588,True
CA_3,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_3",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",339.2463823181029,400.84231635167396,5.692323781242619,28797.225358575924,True
CA_3,"Calendar SARIMAX (1, 1, 1)(1, 1, 0, 7) - CA_3",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 0, 7)",668.3694387144076,769.7267762728787,10.97203453190471,29578.855345419805,True
CA_4,"SARIMAX (0, 1, 1)(0, 1, 1, 7) - CA_4",snap_only,"(0, 1, 1)","(0, 1, 1, 7)",115.39655182514853,142.0744210060615,4.503819230474291,25217.651775486185,True
CA_4,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - CA_4",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",147.95775541234391,170.4560245406019,5.5778669027435575,25257.586540684253,True
TX_1,"Calendar SARIMAX (1, 1, 1)(1, 1, 1, 7) - TX_1",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 1, 7)",162.94483032271208,212.44461991364983,5.307342298986913,26664.205646551112,True
TX_1,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - TX_1",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",165.2823335261083,200.52478868425064,5.3316114049994825,26553.11661611709,True
TX_2,"SARIMAX (1, 1, 0)(1, 1, 1, 7) - TX_2",snap_only,"(1, 1, 0)","(1, 1, 1, 7)",320.8161153214382,381.85407735193115,8.867170477577268,28316.076512447853,True
TX_2,"Calendar SARIMAX (0, 1, 1)(1, 1, 1, 7) - TX_2",snap_weekday_month_event,"(0, 1, 1)","(1, 1, 1, 7)",343.35954588816463,392.8788695211121,8.90235625177579,27868.12611972598,True
TX_3,"Calendar SARIMAX (1, 1, 0)(1, 1, 1, 7) - TX_3",snap_weekday_month_event,"(1, 1, 0)","(1, 1, 1, 7)",188.9565775321348,252.75819559620578,5.200547509453825,27443.049970217726,True
TX_3,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - TX_3",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",187.2294378054641,256.1278642818667,5.267616428666623,26931.578134755426,True
WI_1,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - WI_1",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",245.69197835772957,326.0422763906818,6.09256281555497,27461.66125751674,True
WI_1,"Calendar SARIMAX (1, 1, 0)(1, 1, 1, 7) - WI_1",snap_weekday_month_event,"(1, 1, 0)","(1, 1, 1, 7)",308.5851401791514,387.0953064870961,7.67832840603291,27986.89940081229,True
WI_2,"SARIMAX (1, 1, 1)(0, 1, 1, 7) - WI_2",snap_only,"(1, 1, 1)","(0, 1, 1, 7)",529.23451760886,662.6105762556219,9.439917409551853,28225.16848263851,True
WI_2,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - WI_2",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",573.7767235100683,745.1181975396383,9.829093861226681,28200.562270312836,True
WI_3,"SARIMAX (1, 1, 1)(0, 1, 1, 7) - WI_3",snap_only,"(1, 1, 1)","(0, 1, 1, 7)",208.70486659605174,267.3572865726312,5.351772828346456,27806.349738289864,True
WI_3,"Calendar SARIMAX (1, 1, 1)(1, 1, 0, 7) - WI_3",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 0, 7)",254.85717474253647,316.9169245647701,6.416855748185809,28257.456209479016,True
